user_id,product_category,product_name,purchase_date,satisfaction_score,review_text,reported_issue,would_recommend,delivery_days,price_range
1,Smartphone,Galaxy X21,2025-01-05,4,"Great phone, battery lasts all day and camera quality is impressive. Interface could be more intuitive.",Minor software bugs,TRUE,3,$500-$750
2,Laptop,ProBook Air,2025-01-10,2,"Overheats constantly and keyboard started malfunctioning after just two weeks of use.",Hardware failure,FALSE,5,$1000-$1500
3,Headphones,SoundWave Pro,2025-01-12,5,"Best headphones I've ever owned! Noise cancellation is perfect for my daily commute.",None,TRUE,2,$200-$300
4,Smart TV,ClearView 55",2025-01-15,3,"Picture quality is good but the smart interface lags frequently.",Interface lag,FALSE,7,$400-$600
5,Tablet,SlateTab 10,2025-01-18,4,"Perfect for reading and light work. Wish it had better speakers.",Audio quality issues,TRUE,3,$300-$500
6,Smartwatch,FitTrack Elite,2025-01-20,5,"Tracks all my activities accurately and battery lasts for days!",None,TRUE,2,$150-$250
7,Camera,PhotoMaster X3,2025-01-22,3,"Good image quality but complicated menu system makes it hard to use.",Confusing interface,TRUE,4,$600-$800
8,Gaming Console,GameStation 5,2025-01-25,5,"Amazing graphics and game selection. No complaints!",None,TRUE,3,$400-$600
9,Wireless Earbuds,AirDots Mini,2025-01-28,2,"Uncomfortable fit and poor battery life. Disappointed.",Fit and battery issues,FALSE,2,$100-$150
10,Desktop PC,PowerTower Pro,2025-01-30,4,"Fast performance for work and gaming. Fan is a bit loud under heavy load.",Noise issues,TRUE,5,$1200-$1800
11,Router,SpeedConnect X,2025-02-02,3,"Decent range but occasional connection drops.",Connectivity issues,TRUE,3,$80-$150
12,External Hard Drive,StorageMax 2TB,2025-02-05,5,"Fast, reliable, and compact. Exactly what I needed.",None,TRUE,2,$100-$200
13,Monitor,UltraView 27",2025-02-08,4,"Great colors and resolution. Stand could be more adjustable.",Limited ergonomics,TRUE,4,$250-$400
14,Keyboard,MechType Pro,2025-02-10,5,"Typing feels amazing! Love the tactile feedback.",None,TRUE,2,$100-$200
15,Bluetooth Speaker,SoundBox Mini,2025-02-12,2,"Battery drains even when not in use. Sound quality is mediocre.",Battery drain issues,FALSE,3,$50-$100
16,Smart Home Hub,HomeControl Center,2025-02-15,3,"Works with most of my devices but setup was frustrating.",Setup difficulty,TRUE,4,$150-$250
17,Fitness Tracker,HealthBand Lite,2025-02-18,4,"Accurate tracking and comfortable to wear. App could use improvements.",App limitations,TRUE,2,$80-$150
18,VR Headset,RealityDive Pro,2025-02-20,5,"Incredible immersive experience! Worth every penny.",None,TRUE,5,$300-$500
19,Drone,SkyView Explorer,2025-02-22,3,"Good flight time but camera stabilization needs improvement.",Camera stabilization,TRUE,6,$200-$400
20,E-reader,BookLight 7,2025-02-25,5,"Perfect reading experience with great battery life and screen.",None,TRUE,3,$120-$200
21,Smartphone,iPhone Pro 16,2025-02-28,4,"Beautiful design and smooth performance. Price is too high though.",Overpriced,TRUE,2,$800-$1200
22,Laptop,UltraBook X5,2025-03-02,2,"Constant blue screens and poor customer support.",System crashes,FALSE,4,$900-$1400
23,Headphones,BassMaster Studio,2025-03-05,4,"Great sound quality but a bit heavy for long sessions.",Comfort issues,TRUE,3,$150-$250
24,Smart TV,HomeTheater 65",2025-03-08,5,"Incredible picture quality and smooth smart features!",None,TRUE,8,$700-$1000
25,Tablet,DigiPad Air,2025-03-10,3,"Decent performance but screen scratches too easily.",Durability concerns,FALSE,2,$200-$400
26,Smartwatch,LifeTrack Sport,2025-03-12,4,"Good fitness features but battery needs daily charging.",Battery life issues,TRUE,3,$120-$200
27,Camera,QuickShot Pro,2025-03-15,5,"Amazing image quality and intuitive controls!",None,TRUE,4,$500-$800
28,Gaming Console,PlayBox One,2025-03-18,3,"Good game selection but system frequently overheats.",Overheating,TRUE,3,$350-$550
